0_10mm.JPG,1,9,4,0,14
0_20mm.JPG,0,4,0,0,4
0_30mm.JPG,0,4,0,0,4
10_10mm.JPG,2,10,0,1,13
10_20mm.JPG,0,3,0,0,3
10_30mm.JPG,0,6,0,0,6
10mm-low.JPG,0,8,0,5,13
10mm.JPG,2,9,0,0,11
11_10mm_low.JPG,3,10,0,6,19
11_20mm_low.JPG,0,3,0,4,7
11_30mm_low.JPG,0,5,0,3,8
12_10mm.JPG,0,7,0,0,7
12_20mm.JPG,0,2,0,0,2
12_30mm.JPG,0,5,0,0,5
13_10mm_low.JPG,2,8,0,4,14
13_20mm_low.JPG,0,3,0,2,5
13_30mm_low.JPG,0,5,0,2,7
14_10mm.JPG,2,9,1,0,12
15_10mm.JPG,2,9,0,0,11
16_30mm.JPG,0,5,0,0,5
17_10mm.JPG,3,9,0,0,12
17_20mm.JPG,0,4,0,0,4
17_30mm.JPG,0,6,0,0,6
18_10mm_low.JPG,0,9,0,4,13
18_20mm_low.JPG,0,4,0,2,6
18_30mm_low.JPG,0,6,0,2,8
1_10mm.JPG,0,8,3,0,11
1_20mm.JPG,0,4,0,0,4
1_30mm.JPG,0,4,0,0,4
20mm.JPG,0,3,0,0,3
29mm-low.JPG,0,4,0,3,7
29mm.JPG,0,4,0,0,4
2_10mm.JPG,1,10,4,0,15
2_20mm.JPG,0,4,0,0,4
2_30mm.JPG,0,4,0,0,4
3_10mm.JPG,2,10,0,0,12
4_10mm.JPG,0,6,3,0,9
4_20mm.JPG,0,4,1,0,5
4_30mm.JPG,0,5,0,0,5
5_10mm.JPG,2,8,3,0,13
5_20mm.JPG,0,4,1,0,5
5_30mm.JPG,0,5,0,0,5
6_10mm_low.JPG,3,9,4,3,19
6_20mm_low.JPG,1,3,0,2,6
6_30mm_low.JPG,0,5,0,0,5
7_10mm_low.JPG,3,9,4,5,21
7_20mm_low.JPG,1,4,0,4,9
7_30mm_low.JPG,0,6,0,4,10
8_10mm.JPG,3,9,2,0,14
8_20mm.JPG,0,3,0,0,3
8_30mm.JPG,0,5,0,0,5
9_10mm_low.JPG,2,9,0,0,11
9_20mm_low.JPG,0,3,0,0,3
9_30mm_low.JPG,0,5,0,0,5